Consortia_Name,PracticeName,HRG,Specialty_Name,SLA_Total_Cost
H85016,Cannon Hill Lane Practice,"AA22Z - Non-Transient Stroke or Cerebrovascular Accident, Nervous system infections or Encephalopathy",400 - Neurology,"4,500.63"
H85018,Mulgrave Road,BZ24A - Non-Surgical Ophthalmology with length of stay 2 days or more and age 19 years and over,180 - Accident & Emergency,"3,135.45"
H85019,GP Centre - Longley,"CZ21Y - Minor Head, Neck and Ear Disorders 19 years and over without CC",100 - General Surgery,702.2
H85020,Church Lane  ,"CZ23Y - Major Head, Neck and Ear Disorders 19 years and over without CC",120 - Ear Nose & Throat,457.45
H85021,Chesser Practice,"DZ11A - Lobar, Atypical or Viral Pneumonia with Major CC",300 - General Medicine,"3,949.71"
H85021,Chesser Practice,"DZ11A - Lobar, Atypical or Viral Pneumonia with Major CC",300 - General Medicine,987.43
H85022,Park Road Medical Centre,DZ15F - Asthma without CC without Intubation,410 - Rheumatology,"1,021.70"
H85022,Park Road Medical Centre,DZ17A - Respiratory Neoplasms with Major CC,370 - Medical Oncology,"4,116.03"
H85023,Bishopsford Road Practice,DZ22A - Unspecified Acute Lower Respiratory Infection with Major CC,370 - Medical Oncology,"3,521.58"
H85024,Mitcham Medical Centre,EA31Z - Percutaneous Coronary Intervention (0-2 Stents),320 - Cardiology,"4,981.97"
H85025,Wrythe Green Surgery,EA36A - Catheter 19 years and over,320 - Cardiology,"4,127.72"
H85026,Francis Grove Surgery,EB01Z - Non interventional acquired cardiac conditions 19 years and over,180 - Accident & Emergency,710.39
H85027,Wimbledon Village Surgery,EB01Z - Non interventional acquired cardiac conditions 19 years and over,180 - Accident & Emergency,680.67
H85028,Princes Road Surgery,EB01Z - Non interventional acquired cardiac conditions 19 years and over,320 - Cardiology,956.13
H85029,Wide Way Medical Centre,EB03I - Heart Failure or Shock without CC,180 - Accident & Emergency,762.72
H85030,Drs Elliott Grice and Partners,FZ12C - General Abdominal - Very Major or Major Procedures without CC,100 - General Surgery,"4,329.91"
H85031,Benhill and Belmont,FZ13A - General Abdominal - Diagnostic Procedures with CC,300 - General Medicine,"11,438.88"
H85032,Carshalton Fields,FZ20C - Appendicectomy Procedures 18 years and under,100 - General Surgery,"2,614.46"
H85033,Tamworth House Medical Centre,FZ39E - Hernia Disorders with length of stay 1 day or more without Major CC,100 - General Surgery,"1,940.99"
H85034,Pepys Road Surgery,FZ47C - Non - Malignant General Abdominal Disorders with length of stay 0 days,100 - General Surgery,546.02
H85035,Rowans Surgery,FZ47C - Non - Malignant General Abdominal Disorders with length of stay 0 days,180 - Accident & Emergency,546.02
H85016,Cannon Hill Lane Practice,GC03A - Liver and Pancreatic Disorders category 5 with CC,430 - Geriatric Medicine,"3,780.42"
H85018,Mulgrave Road,GC12A - Malignant Liver and Pancreatic Disorders with length of stay 2 days or more,370 - Medical Oncology,"3,403.43"
H85019,GP Centre - Longley,HA71C - Major Elbow and Lower Arm Procedures for Trauma without CC,110 - Trauma & Orthopaedics,"4,111.85"
H85020,Church Lane  ,HC12Z - Intradural Spine Minor 1,410 - Rheumatology,"4,731.00"
H85021,Chesser Practice,AA21Z - Intracranial Procedures Except Trauma with Other Diagnoses - category 1 or 2,400 - Neurology,"16,752.48"
H85021,Chesser Practice,"AA22Z - Non-Transient Stroke or Cerebrovascular Accident, Nervous system infections or Encephalopathy",300 - General Medicine,"1,106.35"
H85022,Park Road Medical Centre,"AA26Z - Muscular, Balance, Cranial or Peripheral Nerve disorders; Epilepsy; Head Injury",180 - Accident & Emergency,563.42
H85022,Park Road Medical Centre,AA29Z - Transient Ischaemic Attack,100 - General Surgery,701.18
H85023,Bishopsford Road Practice,"CZ21V - Minor Head, Neck and Ear Disorders 19 years and over with CC",180 - Accident & Emergency,505.37
H85024,Mitcham Medical Centre,DZ15E - Asthma with CC without Intubation,180 - Accident & Emergency,726.4
H85025,Wrythe Green Surgery,DZ22A - Unspecified Acute Lower Respiratory Infection with Major CC,300 - General Medicine,"3,446.61"
H85026,Francis Grove Surgery,EB01Z - Non interventional acquired cardiac conditions 19 years and over,180 - Accident & Emergency,676.19
H85027,Wimbledon Village Surgery,EB01Z - Non interventional acquired cardiac conditions 19 years and over,180 - Accident & Emergency,680.67
H85028,Princes Road Surgery,EB01Z - Non interventional acquired cardiac conditions 19 years and over,300 - General Medicine,676.19
H85029,Wide Way Medical Centre,EB01Z - Non interventional acquired cardiac conditions 19 years and over,300 - General Medicine,956.13
H85030,Drs Elliott Grice and Partners,EB01Z - Non interventional acquired cardiac conditions 19 years and over,350 - Infectious Diseases,710.39
H85031,Benhill and Belmont,EB07I - Arrhythmia or Conduction Disorders without CC,410 - Rheumatology,"1,477.12"
H85032,Carshalton Fields,EB08H - Syncope or Collapse with CC,410 - Rheumatology,"2,759.91"
H85033,Tamworth House Medical Centre,EB08I - Syncope or Collapse without CC,180 - Accident & Emergency,560.89
H85034,Pepys Road Surgery,EB08I - Syncope or Collapse without CC,300 - General Medicine,525.24
H85035,Rowans Surgery,FZ09A - Proximal colon procedures with Major CC,300 - General Medicine,"9,012.92"
H85016,Cannon Hill Lane Practice,FZ13A - General Abdominal - Diagnostic Procedures with CC,300 - General Medicine,"5,371.99"
H85018,Mulgrave Road,FZ13A - General Abdominal - Diagnostic Procedures with CC,410 - Rheumatology,"4,595.87"
H85019,GP Centre - Longley,FZ20B - Appendicectomy Procedures 19 years and over without Major CC,100 - General Surgery,"2,724.14"
H85020,Church Lane  ,FZ24D - Major Therapeutic Open or Endoscopic Procedures 18 years and under,171 - Paediatric Surgery,"2,521.90"
H85021,Chesser Practice,FZ29Z - Major or Therapeutic Endoscopic Procedures for Gastrointestinal Bleed,300 - General Medicine,"2,778.98"
H85021,Chesser Practice,FZ45A - Non-Malignant Large Intestinal Disorders with length of stay 1 day or more with Major CC,301 - Gastroenterology,"3,368.20"
H85022,Park Road Medical Centre,FZ47A - Non-Malignant General Abdominal Disorders with length of stay 1 day or more with Major CC,180 - Accident & Emergency,"2,727.72"
H85022,Park Road Medical Centre,FZ47B - Non-Malignant General Abdominal Disorders with length of stay 1 day or more without Major CC,100 - General Surgery,"1,434.20"
H85023,Bishopsford Road Practice,AA25Z - Cerebral Degenerations or Miscellaneous Disorders of Nervous System,300 - General Medicine,"3,766.11"
H85024,Mitcham Medical Centre,"AA26Z - Muscular, Balance, Cranial or Peripheral Nerve disorders; Epilepsy; Head Injury",180 - Accident & Emergency,539.85
H85025,Wrythe Green Surgery,"AA26Z - Muscular, Balance, Cranial or Peripheral Nerve disorders; Epilepsy; Head Injury",300 - General Medicine,"2,123.28"
H85026,Francis Grove Surgery,"AA26Z - Muscular, Balance, Cranial or Peripheral Nerve disorders; Epilepsy; Head Injury",301 - Gastroenterology,"2,159.38"
H85027,Wimbledon Village Surgery,AA29Z - Transient Ischaemic Attack,400 - Neurology,"1,584.68"
H85028,Princes Road Surgery,BZ08B - Orbits / lacrimal category 3: 18 years and under,120 - Ear Nose & Throat,"3,461.56"
H85029,Wide Way Medical Centre,CZ01T - Minor Mouth Procedures 18 years and under without CC,420 - Paediatrics,"1,165.17"
H85030,Drs Elliott Grice and Partners,"DZ11A - Lobar, Atypical or Viral Pneumonia with Major CC",300 - General Medicine,987.43
H85031,Benhill and Belmont,"DZ11A - Lobar, Atypical or Viral Pneumonia with Major CC",300 - General Medicine,"3,949.71"
H85032,Carshalton Fields,DZ15E - Asthma with CC without Intubation,300 - General Medicine,"1,614.22"
H85033,Tamworth House Medical Centre,EA31Z - Percutaneous Coronary Intervention (0-2 Stents),170 - Cardiothoracic Surgery,"4,981.97"
H85034,Pepys Road Surgery,EB01Z - Non interventional acquired cardiac conditions 19 years and over,180 - Accident & Emergency,710.39
H85035,Rowans Surgery,EB01Z - Non interventional acquired cardiac conditions 19 years and over,300 - General Medicine,669.29
H85016,Cannon Hill Lane Practice,EB03I - Heart Failure or Shock without CC,300 - General Medicine,"3,050.87"
